Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
23,0.57,0.18,0.0,0.07,0.06,0.02,0.05,0.03,0.0,0.02
24,0.5,0.13,0.03,0.11,0.05,0.01,0.04,0.1,0.01,0.02
25,0.68,0.11,0.04,0.02,0.0,0.09,0.01,0.03,0.0,0.02
26,0.26,0.25,0.05,0.18,0.07,0.07,0.05,0.02,0.03,0.02
27,0.25,0.21,0.18,0.1,0.04,0.15,0.04,0.01,0.02,0.0
28,0.6,0.0,0.02,0.03,0.07,0.07,0.03,0.14,0.01,0.03
29,0.58,0.0,0.0,0.04,0.05,0.08,0.09,0.11,0.01,0.04
30,0.78,0.02,0.01,0.01,0.03,0.02,0.02,0.04,0.01,0.06
31,0.42,0.12,0.02,0.22,0.04,0.03,0.04,0.04,0.03,0.04
32,0.8,0.04,0.07,0.01,0.0,0.02,0.03,0.01,0.0,0.02
33,0.64,0.03,0.02,0.04,0.09,0.07,0.04,0.05,0.0,0.02
34,0.47,0.05,0.07,0.02,0.14,0.06,0.03,0.06,0.06,0.04
35,0.4,0.12,0.02,0.16,0.05,0.08,0.06,0.07,0.02,0.02
36,0.31,0.15,0.02,0.23,0.06,0.14,0.02,0.02,0.01,0.04
37,0.67,0.1,0.06,0.04,0.06,0.04,0.0,0.02,0.0,0.01
38,0.8,0.05,0.02,0.0,0.04,0.04,0.02,0.02,0.0,0.01
39,0.58,0.08,0.03,0.04,0.02,0.1,0.04,0.08,0.0,0.03
40,0.58,0.15,0.0,0.07,0.03,0.05,0.04,0.03,0.01,0.04
41,0.66,0.05,0.01,0.06,0.1,0.04,0.03,0.05,0.0,0.0
42,0.33,0.32,0.06,0.03,0.02,0.06,0.05,0.01,0.06,0.06
43,0.42,0.09,0.08,0.03,0.08,0.09,0.03,0.11,0.05,0.02
44,0.63,0.03,0.06,0.04,0.03,0.06,0.04,0.08,0.01,0.02
45,0.48,0.21,0.01,0.08,0.02,0.07,0.01,0.07,0.02,0.03
46,0.44,0.35,0.05,0.05,0.03,0.04,0.03,0.01,0.0,0.0
47,0.49,0.31,0.03,0.04,0.05,0.0,0.04,0.02,0.01,0.01
48,0.8,0.07,0.0,0.0,0.06,0.02,0.02,0.02,0.0,0.01
49,0.47,0.08,0.01,0.11,0.07,0.04,0.03,0.14,0.02,0.03
50,0.6,0.06,0.01,0.11,0.03,0.1,0.03,0.02,0.0,0.04
51,0.34,0.35,0.14,0.02,0.03,0.09,0.0,0.01,0.01,0.01
52,0.33,0.07,0.3,0.04,0.07,0.14,0.0,0.02,0.02,0.01
53,0.55,0.09,0.06,0.08,0.05,0.02,0.08,0.05,0.0,0.02
54,0.48,0.13,0.02,0.12,0.06,0.04,0.03,0.05,0.0,0.07
55,0.28,0.09,0.31,0.07,0.03,0.15,0.0,0.02,0.03,0.02
56,0.21,0.13,0.44,0.01,0.05,0.07,0.01,0.04,0.03,0.01
57,0.25,0.11,0.05,0.09,0.1,0.11,0.07,0.02,0.15,0.05
58,0.67,0.03,0.01,0.04,0.06,0.06,0.04,0.05,0.01,0.03
59,0.3,0.08,0.33,0.05,0.04,0.09,0.01,0.01,0.06,0.03
60,0.7,0.06,0.04,0.02,0.02,0.04,0.04,0.06,0.01,0.01
61,0.67,0.06,0.04,0.02,0.05,0.04,0.03,0.02,0.01,0.06
62,0.6,0.08,0.11,0.05,0.03,0.03,0.05,0.04,0.0,0.01
63,0.48,0.08,0.03,0.09,0.08,0.07,0.04,0.09,0.02,0.02
64,0.74,0.09,0.01,0.03,0.02,0.06,0.02,0.01,0.0,0.02
65,0.42,0.11,0.04,0.08,0.08,0.11,0.04,0.06,0.05,0.01
66,0.34,0.32,0.15,0.1,0.01,0.03,0.04,0.01,0.0,0.0
67,0.61,0.06,0.03,0.05,0.02,0.07,0.02,0.07,0.01,0.06
68,0.34,0.34,0.02,0.12,0.02,0.02,0.08,0.01,0.02,0.03
69,0.36,0.39,0.01,0.07,0.01,0.05,0.08,0.0,0.02,0.01
70,0.68,0.06,0.06,0.04,0.02,0.06,0.01,0.06,0.0,0.01
71,0.49,0.09,0.07,0.01,0.01,0.12,0.06,0.1,0.03,0.02
72,0.48,0.07,0.14,0.05,0.08,0.05,0.06,0.06,0.01,0.0
73,0.4,0.11,0.03,0.08,0.1,0.11,0.03,0.11,0.01,0.02
74,0.29,0.1,0.07,0.09,0.08,0.05,0.15,0.08,0.03,0.06
75,0.75,0.06,0.02,0.0,0.09,0.0,0.05,0.02,0.01,0.0
76,0.07,0.51,0.21,0.04,0.05,0.05,0.03,0.01,0.02,0.01
77,0.38,0.23,0.07,0.03,0.05,0.06,0.04,0.11,0.0,0.03
78,0.17,0.2,0.48,0.01,0.02,0.05,0.01,0.01,0.02,0.03
79,0.25,0.13,0.1,0.07,0.08,0.1,0.07,0.04,0.13,0.03
80,0.43,0.1,0.03,0.08,0.05,0.11,0.08,0.02,0.02,0.08
81,0.17,0.14,0.3,0.05,0.04,0.14,0.04,0.05,0.05,0.02
82,0.54,0.16,0.05,0.04,0.05,0.01,0.08,0.03,0.01,0.03
83,0.65,0.11,0.0,0.02,0.03,0.04,0.04,0.08,0.0,0.03
84,0.48,0.23,0.04,0.09,0.01,0.08,0.03,0.01,0.01,0.02
85,0.19,0.21,0.28,0.06,0.02,0.11,0.01,0.01,0.1,0.01
86,0.54,0.06,0.08,0.04,0.06,0.05,0.07,0.05,0.04,0.01
87,0.49,0.13,0.14,0.09,0.04,0.04,0.04,0.01,0.0,0.02
88,0.23,0.14,0.3,0.08,0.04,0.13,0.03,0.01,0.03,0.01
89,0.35,0.11,0.05,0.15,0.07,0.08,0.02,0.12,0.03,0.02
90,0.69,0.01,0.02,0.04,0.04,0.05,0.03,0.11,0.0,0.01
91,0.54,0.0,0.03,0.13,0.07,0.13,0.01,0.04,0.0,0.05
92,0.3,0.14,0.33,0.0,0.05,0.05,0.05,0.04,0.03,0.01
93,0.67,0.09,0.03,0.02,0.05,0.02,0.02,0.04,0.03,0.03
94,0.76,0.04,0.04,0.04,0.03,0.01,0.04,0.02,0.0,0.02
95,0.59,0.12,0.01,0.11,0.03,0.03,0.04,0.03,0.0,0.04
96,0.56,0.12,0.02,0.09,0.05,0.01,0.03,0.07,0.01,0.04
97,0.36,0.07,0.05,0.09,0.21,0.12,0.02,0.05,0.0,0.03
98,0.38,0.21,0.09,0.06,0.03,0.08,0.04,0.1,0.01,0.0
99,0.57,0.2,0.05,0.05,0.04,0.02,0.01,0.06,0.0,0.0
100,0.4,0.09,0.09,0.04,0.11,0.1,0.02,0.1,0.03,0.02
101,0.88,0.03,0.02,0.0,0.01,0.01,0.0,0.03,0.0,0.02
102,0.42,0.04,0.01,0.3,0.09,0.03,0.01,0.05,0.01,0.04
103,0.44,0.19,0.07,0.07,0.03,0.09,0.02,0.05,0.03,0.01
104,0.45,0.13,0.02,0.1,0.06,0.05,0.07,0.1,0.01,0.01
105,0.2,0.27,0.13,0.09,0.04,0.13,0.08,0.04,0.0,0.02
106,0.43,0.26,0.03,0.04,0.1,0.04,0.05,0.02,0.0,0.03
107,0.56,0.05,0.03,0.03,0.08,0.05,0.02,0.15,0.01,0.02
108,0.85,0.04,0.02,0.0,0.02,0.03,0.0,0.03,0.0,0.01
109,0.52,0.2,0.06,0.06,0.02,0.05,0.04,0.03,0.0,0.02
110,0.43,0.03,0.1,0.08,0.04,0.07,0.05,0.16,0.0,0.04
111,0.27,0.22,0.14,0.04,0.06,0.06,0.07,0.08,0.05,0.01
112,0.38,0.22,0.1,0.04,0.04,0.15,0.05,0.01,0.0,0.01
113,0.76,0.05,0.01,0.04,0.03,0.0,0.03,0.04,0.01,0.03
114,0.75,0.05,0.01,0.05,0.05,0.03,0.01,0.03,0.0,0.02
115,0.6,0.11,0.06,0.03,0.03,0.06,0.03,0.06,0.0,0.02
116,0.5,0.09,0.07,0.04,0.11,0.07,0.05,0.03,0.03,0.01
117,0.69,0.11,0.02,0.03,0.06,0.02,0.04,0.02,0.0,0.01
118,0.72,0.09,0.08,0.02,0.02,0.01,0.03,0.01,0.02,0.0
119,0.81,0.05,0.04,0.01,0.01,0.01,0.01,0.03,0.01,0.02
120,0.39,0.17,0.13,0.04,0.07,0.07,0.02,0.07,0.01,0.03
121,0.57,0.06,0.01,0.03,0.11,0.03,0.04,0.11,0.03,0.01
122,0.78,0.08,0.02,0.03,0.0,0.04,0.03,0.02,0.0,0.0
123,0.33,0.35,0.08,0.03,0.04,0.05,0.01,0.06,0.01,0.04
124,0.84,0.05,0.01,0.01,0.01,0.02,0.04,0.01,0.0,0.01
125,0.29,0.1,0.28,0.04,0.08,0.06,0.07,0.02,0.05,0.01
126,0.21,0.2,0.11,0.09,0.11,0.14,0.06,0.01,0.06,0.01
127,0.65,0.08,0.05,0.06,0.01,0.06,0.02,0.06,0.01,0.0
128,0.73,0.03,0.07,0.02,0.01,0.08,0.01,0.01,0.02,0.02
129,0.21,0.23,0.17,0.08,0.03,0.06,0.05,0.05,0.08,0.04
130,0.4,0.33,0.05,0.12,0.01,0.03,0.03,0.02,0.0,0.01
131,0.4,0.12,0.14,0.04,0.14,0.06,0.05,0.01,0.03,0.01
132,0.75,0.05,0.03,0.01,0.01,0.02,0.01,0.09,0.01,0.02
133,0.72,0.03,0.01,0.03,0.04,0.05,0.02,0.08,0.0,0.02
134,0.25,0.05,0.16,0.07,0.14,0.14,0.02,0.04,0.06,0.07
135,0.43,0.19,0.06,0.05,0.09,0.08,0.03,0.02,0.02,0.03
136,0.43,0.21,0.06,0.06,0.06,0.06,0.03,0.07,0.01,0.01
137,0.26,0.11,0.18,0.07,0.06,0.23,0.02,0.02,0.05,0.0
138,0.31,0.11,0.31,0.06,0.03,0.04,0.01,0.03,0.08,0.02
139,0.4,0.08,0.16,0.05,0.08,0.05,0.04,0.06,0.03,0.05
140,0.6,0.09,0.01,0.08,0.09,0.02,0.02,0.04,0.01,0.04
141,0.76,0.07,0.0,0.01,0.02,0.01,0.05,0.06,0.01,0.01
142,0.49,0.21,0.03,0.08,0.03,0.05,0.05,0.05,0.0,0.01
143,0.52,0.07,0.02,0.09,0.08,0.05,0.04,0.08,0.02,0.03
144,0.63,0.02,0.01,0.03,0.08,0.03,0.03,0.12,0.03,0.02
145,0.38,0.06,0.11,0.13,0.02,0.15,0.06,0.05,0.01,0.03
146,0.59,0.09,0.01,0.06,0.05,0.01,0.07,0.08,0.02,0.02
147,0.53,0.17,0.02,0.06,0.04,0.03,0.07,0.04,0.01,0.03
148,0.6,0.12,0.02,0.06,0.06,0.06,0.0,0.04,0.02,0.02
149,0.43,0.11,0.12,0.03,0.09,0.08,0.01,0.01,0.08,0.04
150,0.61,0.15,0.03,0.02,0.08,0.03,0.01,0.05,0.0,0.02
151,0.55,0.3,0.05,0.04,0.0,0.02,0.01,0.02,0.0,0.01
152,0.68,0.03,0.01,0.08,0.02,0.0,0.03,0.1,0.01,0.04
153,0.4,0.42,0.03,0.03,0.03,0.01,0.02,0.02,0.0,0.04
154,0.32,0.15,0.1,0.09,0.12,0.06,0.02,0.04,0.09,0.01
155,0.22,0.23,0.04,0.06,0.06,0.14,0.1,0.04,0.07,0.04
156,0.58,0.1,0.04,0.09,0.03,0.07,0.04,0.02,0.0,0.03
157,0.32,0.05,0.11,0.09,0.06,0.06,0.1,0.11,0.07,0.03
158,0.56,0.05,0.0,0.05,0.07,0.09,0.09,0.05,0.01,0.03
159,0.48,0.08,0.01,0.1,0.02,0.06,0.08,0.13,0.02,0.02
160,0.35,0.13,0.12,0.09,0.11,0.08,0.02,0.03,0.03,0.04
161,0.42,0.1,0.06,0.03,0.06,0.11,0.09,0.07,0.03,0.03
162,0.49,0.17,0.05,0.1,0.02,0.07,0.03,0.02,0.01,0.04
163,0.67,0.03,0.03,0.05,0.08,0.06,0.03,0.04,0.0,0.01
164,0.23,0.3,0.06,0.19,0.01,0.13,0.03,0.02,0.02,0.01
165,0.48,0.01,0.04,0.08,0.13,0.11,0.04,0.08,0.0,0.03
166,0.58,0.14,0.05,0.04,0.04,0.08,0.04,0.02,0.01,0.0
167,0.5,0.09,0.09,0.09,0.04,0.02,0.03,0.09,0.03,0.02
168,0.44,0.16,0.07,0.05,0.08,0.05,0.03,0.05,0.04,0.03
169,0.33,0.14,0.05,0.15,0.04,0.2,0.02,0.03,0.02,0.02
170,0.31,0.06,0.02,0.13,0.14,0.1,0.05,0.07,0.02,0.1
171,0.35,0.25,0.06,0.06,0.02,0.08,0.09,0.04,0.02,0.03
172,0.45,0.04,0.03,0.07,0.05,0.16,0.01,0.11,0.04,0.04
173,0.56,0.03,0.1,0.01,0.09,0.05,0.04,0.07,0.04,0.01
174,0.35,0.04,0.04,0.17,0.07,0.18,0.05,0.06,0.02,0.02
175,0.62,0.14,0.04,0.05,0.01,0.01,0.02,0.07,0.01,0.03
176,0.44,0.38,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.01
177,0.59,0.17,0.1,0.01,0.06,0.01,0.03,0.01,0.02,0.0
178,0.48,0.06,0.05,0.1,0.07,0.12,0.03,0.06,0.01,0.02
179,0.39,0.05,0.04,0.06,0.07,0.08,0.02,0.2,0.03,0.06
180,0.43,0.14,0.05,0.08,0.05,0.06,0.04,0.08,0.06,0.01
181,0.64,0.07,0.03,0.03,0.07,0.02,0.06,0.05,0.01,0.02
182,0.56,0.1,0.06,0.05,0.03,0.05,0.02,0.07,0.03,0.03
183,0.35,0.48,0.05,0.05,0.01,0.04,0.01,0.01,0.0,0.0
184,0.28,0.18,0.14,0.04,0.07,0.15,0.04,0.03,0.04,0.03
185,0.48,0.28,0.07,0.04,0.02,0.06,0.01,0.01,0.0,0.03
186,0.68,0.09,0.02,0.05,0.09,0.03,0.0,0.02,0.01,0.01
187,0.23,0.04,0.28,0.07,0.07,0.11,0.06,0.06,0.07,0.01
188,0.46,0.07,0.09,0.03,0.06,0.09,0.08,0.05,0.02,0.05
189,0.54,0.14,0.07,0.08,0.02,0.03,0.01,0.03,0.03,0.05
190,0.38,0.07,0.02,0.22,0.12,0.06,0.05,0.05,0.0,0.03
191,0.39,0.19,0.07,0.12,0.05,0.08,0.04,0.02,0.04,0.0
192,0.27,0.44,0.05,0.08,0.02,0.05,0.05,0.0,0.03,0.01
193,0.59,0.05,0.03,0.08,0.06,0.08,0.03,0.05,0.0,0.03
194,0.38,0.07,0.2,0.02,0.11,0.03,0.06,0.03,0.09,0.01
195,0.52,0.08,0.01,0.12,0.03,0.03,0.04,0.13,0.01,0.03
196,0.23,0.1,0.42,0.0,0.07,0.11,0.02,0.0,0.01,0.04
197,0.16,0.47,0.19,0.03,0.02,0.07,0.0,0.02,0.03,0.01
198,0.5,0.25,0.06,0.06,0.05,0.03,0.04,0.01,0.0,0.0
199,0.55,0.2,0.04,0.07,0.05,0.02,0.01,0.05,0.01,0.0
200,0.7,0.07,0.02,0.05,0.03,0.06,0.0,0.01,0.01,0.05
201,0.37,0.38,0.05,0.07,0.03,0.04,0.0,0.03,0.02,0.01
202,0.49,0.09,0.07,0.08,0.08,0.05,0.05,0.03,0.04,0.02
203,0.38,0.12,0.01,0.19,0.05,0.04,0.1,0.05,0.02,0.04
204,0.79,0.09,0.01,0.0,0.05,0.02,0.03,0.01,0.0,0.0
205,0.33,0.19,0.13,0.07,0.05,0.1,0.05,0.03,0.02,0.03
206,0.6,0.11,0.03,0.08,0.03,0.02,0.06,0.04,0.03,0.0
207,0.35,0.21,0.15,0.03,0.06,0.13,0.01,0.02,0.04,0.0
208,0.59,0.15,0.04,0.07,0.03,0.04,0.01,0.06,0.0,0.01
209,0.29,0.24,0.06,0.1,0.09,0.06,0.06,0.01,0.06,0.03
210,0.29,0.07,0.31,0.04,0.03,0.12,0.04,0.06,0.02,0.02
211,0.49,0.25,0.09,0.04,0.02,0.05,0.02,0.03,0.0,0.01
212,0.31,0.22,0.07,0.06,0.06,0.11,0.05,0.0,0.09,0.03
213,0.59,0.13,0.05,0.07,0.0,0.1,0.0,0.05,0.0,0.01
214,0.71,0.06,0.04,0.04,0.02,0.04,0.01,0.02,0.03,0.03
215,0.81,0.05,0.05,0.01,0.03,0.01,0.02,0.02,0.0,0.0
216,0.53,0.14,0.03,0.1,0.06,0.04,0.03,0.03,0.03,0.01
217,0.62,0.04,0.01,0.04,0.04,0.07,0.05,0.08,0.01,0.04
218,0.53,0.33,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.0
219,0.44,0.19,0.12,0.07,0.04,0.04,0.02,0.06,0.01,0.01
220,0.57,0.16,0.04,0.06,0.03,0.05,0.02,0.06,0.0,0.01
221,0.45,0.07,0.16,0.02,0.07,0.1,0.03,0.08,0.01,0.01
222,0.52,0.01,0.02,0.03,0.1,0.09,0.04,0.15,0.0,0.04
223,0.73,0.11,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.01
224,0.71,0.04,0.0,0.02,0.07,0.03,0.05,0.07,0.0,0.01
225,0.34,0.2,0.11,0.1,0.06,0.07,0.04,0.02,0.02,0.04
226,0.26,0.25,0.09,0.13,0.03,0.12,0.04,0.02,0.05,0.01
227,0.77,0.04,0.01,0.04,0.06,0.01,0.04,0.01,0.01,0.01
228,0.3,0.19,0.24,0.03,0.03,0.12,0.01,0.01,0.05,0.02
229,0.21,0.22,0.21,0.04,0.03,0.18,0.05,0.02,0.04,0.0
230,0.63,0.13,0.02,0.04,0.08,0.01,0.04,0.02,0.01,0.02
231,0.5,0.12,0.04,0.05,0.06,0.07,0.06,0.06,0.02,0.02
232,0.27,0.11,0.18,0.1,0.06,0.13,0.02,0.07,0.03,0.03
233,0.54,0.09,0.02,0.11,0.08,0.04,0.06,0.02,0.0,0.04
234,0.7,0.08,0.08,0.06,0.02,0.03,0.01,0.0,0.02,0.0
235,0.41,0.04,0.04,0.08,0.06,0.13,0.05,0.1,0.04,0.05
236,0.76,0.04,0.09,0.01,0.04,0.01,0.03,0.0,0.02,0.0
237,0.32,0.16,0.23,0.04,0.03,0.07,0.03,0.08,0.03,0.01
238,0.37,0.08,0.09,0.1,0.12,0.05,0.02,0.09,0.06,0.02
239,0.5,0.17,0.04,0.04,0.09,0.05,0.03,0.05,0.01,0.02
240,0.61,0.06,0.04,0.03,0.02,0.12,0.05,0.05,0.02,0.0
241,0.48,0.1,0.02,0.05,0.02,0.05,0.08,0.17,0.02,0.01
242,0.52,0.19,0.03,0.04,0.1,0.02,0.05,0.02,0.0,0.03
243,0.57,0.06,0.01,0.06,0.04,0.03,0.03,0.11,0.05,0.04
244,0.6,0.15,0.02,0.07,0.03,0.05,0.05,0.01,0.02,0.0
245,0.49,0.12,0.18,0.03,0.05,0.03,0.0,0.02,0.05,0.03
246,0.46,0.25,0.1,0.06,0.04,0.03,0.01,0.02,0.02,0.01
247,0.33,0.2,0.12,0.06,0.06,0.11,0.06,0.01,0.04,0.01
248,0.24,0.38,0.12,0.07,0.01,0.11,0.03,0.0,0.02,0.02
249,0.58,0.14,0.03,0.06,0.04,0.03,0.03,0.05,0.02,0.02
250,0.52,0.37,0.03,0.03,0.02,0.0,0.01,0.01,0.01,0.0
251,0.76,0.05,0.04,0.03,0.03,0.01,0.02,0.02,0.0,0.04
252,0.6,0.06,0.0,0.02,0.06,0.08,0.01,0.12,0.0,0.05
253,0.55,0.08,0.02,0.07,0.09,0.02,0.05,0.09,0.0,0.03
254,0.47,0.13,0.14,0.05,0.1,0.05,0.01,0.0,0.03,0.02
255,0.73,0.06,0.03,0.02,0.03,0.03,0.04,0.02,0.0,0.04
256,0.32,0.31,0.08,0.06,0.02,0.02,0.06,0.06,0.01,0.06
257,0.67,0.06,0.0,0.07,0.05,0.04,0.02,0.05,0.01,0.03
258,0.48,0.24,0.02,0.11,0.02,0.04,0.03,0.03,0.01,0.02
259,0.7,0.02,0.06,0.01,0.06,0.04,0.03,0.05,0.01,0.02
260,0.49,0.23,0.03,0.11,0.03,0.04,0.02,0.02,0.02,0.01
261,0.27,0.09,0.12,0.08,0.07,0.19,0.04,0.04,0.05,0.05
262,0.47,0.25,0.02,0.07,0.05,0.01,0.07,0.03,0.01,0.02
263,0.73,0.12,0.05,0.02,0.03,0.01,0.01,0.02,0.01,0.0
264,0.68,0.1,0.02,0.06,0.05,0.01,0.04,0.04,0.0,0.0
265,0.34,0.16,0.04,0.14,0.03,0.15,0.07,0.04,0.0,0.03
266,0.31,0.13,0.02,0.15,0.1,0.1,0.05,0.07,0.01,0.06
267,0.77,0.09,0.02,0.01,0.03,0.01,0.01,0.04,0.0,0.02
268,0.28,0.1,0.04,0.09,0.08,0.09,0.12,0.12,0.05,0.03
269,0.58,0.16,0.03,0.06,0.02,0.04,0.02,0.03,0.02,0.04
270,0.37,0.13,0.06,0.07,0.06,0.06,0.08,0.11,0.03,0.03
271,0.43,0.13,0.03,0.17,0.06,0.07,0.02,0.01,0.01,0.07
272,0.34,0.3,0.15,0.04,0.03,0.05,0.05,0.01,0.03,0.0
273,0.35,0.08,0.01,0.05,0.11,0.16,0.07,0.08,0.05,0.04
274,0.39,0.14,0.06,0.08,0.13,0.11,0.0,0.02,0.05,0.02
275,0.38,0.07,0.03,0.06,0.08,0.1,0.1,0.14,0.0,0.04
276,0.55,0.18,0.01,0.02,0.06,0.09,0.06,0.02,0.01,0.0
277,0.47,0.09,0.05,0.02,0.1,0.07,0.01,0.17,0.0,0.02
278,0.4,0.26,0.0,0.08,0.03,0.07,0.07,0.08,0.01,0.0
279,0.47,0.09,0.03,0.15,0.02,0.09,0.02,0.11,0.0,0.02
280,0.49,0.15,0.06,0.03,0.06,0.05,0.05,0.04,0.05,0.02
281,0.4,0.08,0.1,0.03,0.11,0.11,0.04,0.1,0.01,0.02
282,0.77,0.04,0.03,0.06,0.03,0.03,0.01,0.02,0.0,0.01
283,0.75,0.08,0.0,0.0,0.03,0.01,0.03,0.06,0.01,0.03
284,0.45,0.06,0.02,0.07,0.08,0.16,0.03,0.05,0.03,0.05
285,0.48,0.06,0.07,0.09,0.11,0.06,0.04,0.06,0.0,0.03
286,0.28,0.26,0.09,0.08,0.07,0.11,0.02,0.01,0.05,0.03
287,0.37,0.13,0.06,0.08,0.11,0.08,0.03,0.1,0.0,0.04
288,0.44,0.12,0.05,0.06,0.05,0.1,0.07,0.05,0.04,0.02
289,0.49,0.19,0.03,0.11,0.02,0.04,0.05,0.05,0.0,0.02
290,0.51,0.27,0.05,0.01,0.05,0.02,0.03,0.06,0.0,0.0
291,0.75,0.07,0.05,0.04,0.02,0.01,0.01,0.01,0.02,0.02
292,0.7,0.04,0.01,0.05,0.09,0.02,0.02,0.06,0.0,0.01
293,0.21,0.1,0.24,0.05,0.02,0.11,0.04,0.07,0.08,0.08
294,0.73,0.04,0.01,0.02,0.06,0.05,0.0,0.06,0.03,0.0
295,0.55,0.04,0.01,0.03,0.12,0.11,0.04,0.08,0.01,0.01
296,0.29,0.24,0.09,0.04,0.03,0.08,0.03,0.07,0.09,0.04
297,0.59,0.08,0.01,0.03,0.08,0.06,0.04,0.09,0.01,0.01
298,0.63,0.11,0.04,0.05,0.06,0.03,0.02,0.03,0.01,0.02
299,0.65,0.11,0.02,0.03,0.02,0.08,0.04,0.04,0.01,0.0
300,0.67,0.12,0.01,0.01,0.07,0.03,0.07,0.02,0.0,0.0
301,0.7,0.05,0.02,0.03,0.03,0.03,0.02,0.11,0.0,0.01
302,0.64,0.09,0.02,0.05,0.08,0.06,0.04,0.01,0.01,0.0
303,0.28,0.22,0.09,0.06,0.05,0.06,0.05,0.08,0.06,0.05
304,0.7,0.14,0.04,0.02,0.04,0.02,0.01,0.02,0.01,0.0
305,0.31,0.2,0.19,0.06,0.06,0.03,0.03,0.04,0.06,0.02
306,0.46,0.15,0.11,0.05,0.03,0.04,0.04,0.06,0.02,0.04
307,0.75,0.04,0.03,0.01,0.05,0.02,0.04,0.03,0.0,0.03
308,0.66,0.11,0.06,0.04,0.02,0.01,0.01,0.04,0.02,0.03
309,0.55,0.06,0.03,0.01,0.1,0.09,0.03,0.08,0.0,0.05
310,0.73,0.13,0.03,0.02,0.02,0.01,0.04,0.0,0.02,0.0
311,0.56,0.11,0.07,0.04,0.06,0.03,0.03,0.09,0.0,0.01
312,0.27,0.08,0.45,0.02,0.03,0.09,0.04,0.0,0.01,0.01
313,0.5,0.39,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0
314,0.41,0.18,0.14,0.04,0.08,0.05,0.04,0.0,0.04,0.02
315,0.18,0.22,0.26,0.05,0.04,0.11,0.02,0.03,0.08,0.01
316,0.39,0.09,0.19,0.04,0.02,0.11,0.05,0.02,0.07,0.02
317,0.28,0.29,0.19,0.05,0.05,0.05,0.01,0.01,0.07,0.0
318,0.56,0.09,0.03,0.05,0.08,0.04,0.01,0.08,0.01,0.05
319,0.39,0.35,0.05,0.07,0.01,0.04,0.03,0.06,0.0,0.0
320,0.85,0.06,0.0,0.01,0.03,0.03,0.0,0.01,0.01,0.0
321,0.66,0.12,0.02,0.05,0.04,0.01,0.03,0.04,0.0,0.03
322,0.48,0.25,0.07,0.05,0.04,0.02,0.02,0.02,0.03,0.02
323,0.43,0.02,0.08,0.04,0.06,0.11,0.03,0.17,0.03,0.03
324,0.5,0.04,0.07,0.1,0.07,0.07,0.03,0.08,0.0,0.04
325,0.78,0.06,0.03,0.0,0.01,0.0,0.03,0.04,0.01,0.04
326,0.3,0.12,0.03,0.12,0.11,0.08,0.06,0.09,0.07,0.02
327,0.34,0.11,0.18,0.05,0.07,0.16,0.02,0.0,0.06,0.01
328,0.57,0.09,0.05,0.05,0.02,0.1,0.05,0.05,0.02,0.0
329,0.74,0.1,0.0,0.02,0.08,0.03,0.03,0.0,0.0,0.0
330,0.79,0.07,0.03,0.02,0.02,0.02,0.02,0.01,0.0,0.02
